subjectID,Pre_Res,Post_Res,Pre_f16_cum_GPA,Post_S17_cum_gpa,Post_S17_change_in_cum_gpa,Post_S17_term_gpa
291,0,0,1.21,1.84,0.63,2.32
148,0,0,2,2.44,0.44,2.8
297,0,0,3.27,3.15,-0.12,3.03
220,0,0,3.82,3.79,-0.03,3.76
313,0,0,3.29,2.86,-0.43,2.47
168,0,0,3.23,3.43,0.2,3.59
119,0,-1,2.7,2.33,-0.37,1.97
301,0,0,4,3.89,-0.11,3.77
110,0,0,4,4.0,0.0,4.0
299,0,-1,3.28,2.38,-0.9,1.7
279,1,0,3.61,3.55,-0.06,3.49
211,0,1,3.77,3.19,-0.58,2.78
204,0,0,2.15,2.46,0.31,2.76
356,0,0,3.22,2.28,-0.94,1.38
286,0,0,3.24,2.49,-0.75,1.54
222,0,0,3.5,3.44,-0.06,3.4
328,0,0,2.29,2.16,-0.13,2.06
158,0,0,3.66,2.94,-0.72,2.6
226,0,0,3.49,3.2,-0.29,2.93
